日付け,終値,始値,高値,安値,出来高,前日比%
1998年1月,16628.00 ,15269.00 ,17353.00 ,14546.00 ,-,8.97%
1998年2月,16832.00 ,16685.00 ,17256.00 ,15932.00 ,-,1.23%
1998年3月,16527.00 ,16901.00 ,17352.00 ,16178.00 ,-,-1.81%
1998年4月,15641.26 ,16433.00 ,16624.00 ,15334.47 ,-,-5.36%
1998年5月,15670.78 ,15656.14 ,15972.88 ,15020.05 ,-,0.19%
1998年6月,15830.27 ,15670.73 ,15830.47 ,14614.74 ,-,1.02%
1998年7月,16378.97 ,15852.10 ,16756.89 ,15739.76 ,-,3.47%
1998年8月,14107.89 ,16303.60 ,16303.60 ,13792.76 ,-,-13.87%
1998年9月,13406.39 ,13979.82 ,15294.26 ,13406.39 ,-,-4.97%
1998年10月,13564.51 ,13377.24 ,14742.44 ,12787.90 ,-,1.18%
1998年11月,14883.70 ,13648.28 ,15320.23 ,13648.28 ,-,9.73%
1998年12月,13842.17 ,14821.53 ,15011.09 ,13657.03 ,-,-7.00%
1999年1月,14499.25 ,13779.05 ,14628.88 ,13122.61 ,-,4.75%
1999年2月,14367.54 ,14544.12 ,14641.41 ,13769.25 ,-,-0.91%
1999年3月,15836.59 ,14362.86 ,16437.23 ,13921.06 ,-,10.22%
1999年4月,16701.53 ,15868.05 ,17166.06 ,15813.41 ,-,5.46%
1999年5月,16111.65 ,16762.78 ,17300.61 ,15886.62 ,-,-3.53%
1999年6月,17529.74 ,16090.15 ,17958.34 ,16026.95 ,-,8.80%
1999年7月,17861.86 ,17607.60 ,18623.15 ,17367.08 ,-,1.89%
1999年8月,17436.56 ,17827.24 ,18397.93 ,17040.72 ,-,-2.38%
1999年9月,17605.46 ,17479.57 ,17988.59 ,16652.04 ,-,0.97%
1999年10月,17942.08 ,17589.73 ,18228.39 ,17178.47 ,-,1.91%
1999年11月,18558.23 ,17982.39 ,19036.08 ,17857.11 ,-,3.43%
1999年12月,18934.34 ,18563.26 ,18960.33 ,18006.32 ,-,2.03%
2000年1月,19539.70 ,18937.45 ,19595.83 ,18068.10 ,-,3.20%
2000年2月,19959.52 ,19536.68 ,20046.14 ,19266.96 ,-,2.15%
2000年3月,20337.32 ,20030.08 ,20809.79 ,18765.88 ,-,1.89%
2000年4月,17973.70 ,20327.79 ,20833.21 ,17926.43 ,-,-11.62%
2000年5月,16332.45 ,17979.25 ,18586.16 ,15870.25 ,-,-9.13%
2000年6月,17411.05 ,16320.08 ,17511.32 ,16289.92 ,-,6.60%
2000年7月,15727.49 ,17451.65 ,17661.11 ,15394.71 ,-,-9.67%
